Ticker,Volatility,Mean_Return,Target_MDD,Target_TTR,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Crisis_Type_Dot-Com Bubble,Crisis_Type_Global Financial Crisis
WAT,2.0396937678182447,0.05598610054112074,-0.4426654340832547,9999,False,False,False,False,False,True,False,False,False,False,False,False
WAT,3.56592717935549,0.11570101169999414,-0.8011618333238784,9999,False,False,False,False,False,True,False,False,False,False,True,False
WAT,2.355791455657425,0.045726946884750645,-0.6192893242785631,708,False,False,False,False,False,True,False,False,False,False,False,True
WBD,3.5078195737632676,-0.04026754602107271,-0.8852077097074004,9999,True,False,False,False,False,False,False,False,False,False,False,False
WBD,2.7751384619618675,0.09571835665851429,-0.6129432656165033,305,True,False,False,False,False,False,False,False,False,False,False,True
WDAY,2.680623180387777,0.08480647669471308,-0.5592223078328148,9999,False,False,False,False,False,False,False,False,True,False,False,False
WDC,3.1971931946256515,0.03180760807901879,-0.6085266357340778,9999,False,False,False,False,False,False,False,False,True,False,False,False
WDC,5.642456435499549,0.2215545894204829,-0.7657142395735587,431,False,False,False,False,False,False,False,False,True,False,True,False
WDC,3.3844712750017316,0.08869735233588794,-0.7516257527320449,391,False,False,False,False,False,False,False,False,True,False,False,True
WEC,1.7660690582529377,0.01987840356495528,-0.32305210841141313,225,False,False,False,False,False,False,False,False,False,True,False,False
WEC,1.3584350491243984,0.06989107694596211,-0.2128221734247534,167,False,False,False,False,False,False,False,False,False,True,True,False
WEC,1.3609462256689335,0.06076898533623263,-0.24316266559216776,277,False,False,False,False,False,False,False,False,False,True,False,True
WELL,2.772747180279646,0.06254533628977471,-0.6265401940068364,471,False,False,False,False,False,False,False,True,False,False,False,False
WELL,1.4141395460577413,0.11865344176492583,-0.2744430757754213,9999,False,False,False,False,False,False,False,True,False,False,True,False
WELL,2.6292571933554947,0.09246330064240094,-0.4749338531912599,545,False,False,False,False,False,False,False,True,False,False,False,True
WFC,2.603913266409519,0.036435707703122024,-0.5877705186205349,286,False,False,False,False,True,False,False,False,False,False,False,False
WFC,1.6636225986313111,0.06500103112842626,-0.2923467442842737,635,False,False,False,False,True,False,False,False,False,False,True,False
WFC,4.374405294191496,0.08248312851232098,-0.7901339761295302,9999,False,False,False,False,True,False,False,False,False,False,False,True
WM,1.481539114391893,0.06169633953460648,-0.30066610236372865,364,False,False,False,False,False,False,True,False,False,False,False,False
WM,2.1677469266594667,0.06962543880420892,-0.39072123241367196,9999,False,False,False,False,False,False,True,False,False,False,True,False
WM,1.8221104445411058,0.016194481169999667,-0.414914807815325,571,False,False,False,False,False,False,True,False,False,False,False,True
WMB,2.405231863898339,0.09308057055551251,-0.6053711950597924,272,False,False,False,True,False,False,False,False,False,False,False,False
WMB,5.798445850035321,0.12972130330662696,-0.9789131707629923,9999,False,False,False,True,False,False,False,False,False,False,True,False
WMB,3.1202453544758133,0.05760573105810639,-0.7532662266842635,9999,False,False,False,True,False,False,False,False,False,False,False,True
WMT,1.4880118230791677,0.0463149643032942,-0.25739679201821064,362,False,False,True,False,False,False,False,False,False,False,False,False
WMT,2.101869999631277,0.009200408286752405,-0.36642401655204465,9999,False,False,True,False,False,False,False,False,False,False,True,False
