Date,Sector,Crisis_Type,Adj_Close,Daily_Return_Mean,Daily_Return
2000-01-04,Basic Materials,Dot-Com Bubble,14.309437841176987,,
2000-01-04,Communication Services,Dot-Com Bubble,13.463040775722927,,
2000-01-04,Consumer Cyclical,Dot-Com Bubble,11.754386971102042,,
2000-01-04,Consumer Defensive,Dot-Com Bubble,11.783995956581618,,
2000-01-04,Energy,Dot-Com Bubble,7.99155816634496,,
2000-01-04,Financial Services,Dot-Com Bubble,35.184449299522065,,
2000-01-04,Healthcare,Dot-Com Bubble,14.375563414323898,,
2000-01-04,Industrials,Dot-Com Bubble,13.590963423252106,,
2000-01-04,Real Estate,Dot-Com Bubble,7.479509115219116,,
2000-01-04,Technology,Dot-Com Bubble,34.68993780936332,,
2000-01-04,Utilities,Dot-Com Bubble,7.609877250812672,,
2000-01-05,Basic Materials,Dot-Com Bubble,14.774536088109016,3.0135776717237093,2.1365961344186437
2000-01-05,Communication Services,Dot-Com Bubble,13.523117436303032,0.32542652730840455,3.008385455521643
2000-01-05,Consumer Cyclical,Dot-Com Bubble,11.960274502635002,0.9790565151494607,4.040516391530262
2000-01-05,Consumer Defensive,Dot-Com Bubble,11.75339404639921,-0.03105056094058716,1.9343080435937794
2000-01-05,Energy,Dot-Com Bubble,8.100993963082631,1.2050809783559264,2.865247379788352
2000-01-05,Financial Services,Dot-Com Bubble,35.24970069009325,-0.37482035213978937,3.201015843328533
2000-01-05,Healthcare,Dot-Com Bubble,14.480758295172738,1.2059128902367773,3.815485062074158
2000-01-05,Industrials,Dot-Com Bubble,13.662900108311858,0.7808207737375275,2.6087861475186225
2000-01-05,Real Estate,Dot-Com Bubble,7.48101049900055,-0.07929477898081316,2.2605398198771565
2000-01-05,Technology,Dot-Com Bubble,33.892485634760654,-0.40503518206158956,5.582550215067136
2000-01-05,Utilities,Dot-Com Bubble,7.882267890153108,3.7149781217334983,1.4082829165080106
2000-01-06,Basic Materials,Dot-Com Bubble,15.236870244145393,2.4527696430588253,3.0964373404461405
2000-01-06,Communication Services,Dot-Com Bubble,13.166592121124268,-1.7208560202866243,4.6685737559081995
2000-01-06,Consumer Cyclical,Dot-Com Bubble,11.881138091139933,-1.0848575411292967,4.940312017080163
2000-01-06,Consumer Defensive,Dot-Com Bubble,11.913136282403554,1.2428007435412973,2.3043513364512274
2000-01-06,Energy,Dot-Com Bubble,8.524881362915039,4.414673638733166,3.009074228102946
2000-01-06,Financial Services,Dot-Com Bubble,36.35648568428081,2.5033446876925054,2.793591657395942
2000-01-06,Healthcare,Dot-Com Bubble,14.658605294568199,1.4535506833550353,3.224518445683888
2000-01-06,Industrials,Dot-Com Bubble,13.843226322638136,0.7192156900095491,3.437506024293339
2000-01-06,Real Estate,Dot-Com Bubble,7.551055536270142,1.654910401885724,2.377997260716291
2000-01-06,Technology,Dot-Com Bubble,31.170074347168843,-3.8941949685771085,4.738186478033939
2000-01-06,Utilities,Dot-Com Bubble,7.902797089682685,0.11706369666261314,1.0872180684707293
